input,target
collection bureau sent purported debt regarding medical bill requested verification sent medical bill redacted validate debt demanded resent visible could verify debt instead collection bureau collection bureau services contacted verified debt without permission sending documentation could verify debt debt remains credit report collection bureau collection bureau services refuse place disputed status gross violation rights fdcpa,Debt collection
bank america charging ridiculous fees spotted fee charge stating limit withdrawal savings account called drawn account bank america rep informed federal reserve regulation requires bank charge make transfers savings checking upon checking regulation states im allowed transfer transactions call bank america back told allow charge transfer federal gov says allowed bank wants money allow,Bank account or service
eplianed open account witt company phone sevices another company  years feel result identity theft,Debt collection
apllied credit card equifa minused equifa score points score went  hours fair applying credit card revoling credit credit report order purchase home thru fha ruined chances purchasing home minusing score points hours called wrote equifa many occasions due take old credit history  years ago credit called told every time credit dispute stays  years sick equifa ruined credit long enough need old accounts credit points put back credit score taking points inquiry credit credit card,Credit reporting
wyndham professionals disclosed amounts owed loan party affiliated loan nonaccount holder disclosed amounts owed settlement options communicated delinquency status nonaccount holder,Debt collection
recontrust dualtracking improper transaction trustee approval na errors mistakesnever sent notices regarding foreclosure posted informationsome unknown fraudulent person contacted recontrust stated tenantstenant fraudulent personbeing identified utilities companies etc left according recordsrecontrust never contacted owner confirm information including confirming debtbank america confirmed tenant refused relocation fee wanted remain tenant recontrust received  months rents unknown fraudulent personi tenantsi remained residenti deficiency forwarded recontrust appears used purchase home confirmed property sold auction took place person bidderi received letter foreclosure review committee respondedforeclosure review committee letter freeze action modification complete approval denied letter never received working later escalation member errors email management stating property foreclosed assured property would sold recorded reo line way conference complete recession recording availablenod starts days answer received workout program approved nod filed prior foreclosure review committee letterthe filed declaration letter dated incorrect false bank america tried due diligence reach number remains file addressletter dated bank america still review complete request modificationbank america confirmed name spelled different ways system part challenge modification documents uploaded system properly prior foreclosurei research county recorders agencies locate documentssecretary state notary confirmed notary information properly followed people properly identifiedi aware foreclosure took place time still working modificationi informed foreclosure building management company emailproperty resold less three month gain   dollarsi requested many documents recontrust none received date,Mortgage
submitted complaint green tree mortgage taking payment misapplying incorrectly charging us late fees remedying situation wrote numerous letters never missed single payment green tree also took insurance charged us even though association insurance common areas provided policy continue charge us policy refund money took us also raised payment monthly add horrendous late fees even though get cash checks harassed since took loan inappropriately handled escrow get rectified unreasonable refuse actually answer problem even though write lots letters telling us cured problem created filed complaint previously seen relief credit situation deteriorating also green tree refused modify loan reasonable get nearly  us thinking going wife unemployed situation difficult us hope help thank much,Mortgage
mortgage freedom mortgage company reviewing paperwork noticed discrepancies paperwork hud interest rate  loan amount truth lending statement interest rate  loan amount finance charge amount  total payment  gfe amount heloc according payment schedule payments however never paid amount since beginning loan lowest amount paid  call collections spoke rep id informed escrow shortage  account prepared foreclosure transferred customer services id said escrow analysis done mailed  mail bo problem statement mail bo receive mail ecept sent also stated new payment go effect short fall escrow notice statement paying amount escrow square asked status mortgage informed needed speak someone collections transferred agent id discussed completing loss mitigation packet informed payment sent said payment would returned foreclosure process begun would process documents received determine accepted continue process even review order process stop entire amount  due question amount due discrepancy financed amount payments,Mortgage
complainant partner small ohiobased business federal filing cfpb complaint setting credit card merchant services via whollyowned entity chase bank improperly attempting mingle personal credit information creditworthiness business endeavor relationship dependent upon manner personal credit history personal information  year unblemished history business financial performance corporation stands legally considered person attempted comingling disparate attributes damage personal credit score discriminatory small businesses owing primafacie truth chase bank provision identical services companies would never include provision date birth social security number support running personal credit report score practice requiring personal dob ssn provision small business merchant services discriminatory properly formulated business represents unnecessary burden applied large entities particularly galling specific case merchant services contorts entire process since direction money flow bank small business given money flow reality conducting personal credit check discriminatory abusive fraudulent since provision credit arising performance credit review notwithstanding rare circumstance chargeback undersigned complainant never occurred  years accepting credit cards postulated chargeback scenario tenuous since chase bank handled business banking services approimately  years furthermore chargebacks basis concern eamination capacity reverse fund chargebacks still remains legal entity since business account chargeback funding must captured closing complaint consumer financial protection issue behalf similarly situated small businesses principals owing discriminatory practice requiring onerous frivolous credit check imparts additional burden well tangible negative factor principals credit history score event cfpb deems complaint appropriately belongs another agency within another forum cfpb assistance rerouting complaint appreciated advance,Bank account or service
historical narrative credit card account question issued listing liable individually company registered operating formed wholly owned us based subsidiary call based wa company headquarters based manufacturing products took place specialized making composite baseball softball bats sold retail markets worldwide operations house sales distribution functions us citizen purchased equity share parent company ownership share also translated wholly owned us subsidiary also owns us based construction company based wa called employed cfo period  years working involved assisting supporting us based operations never employee ownership interest company never received compensation services rendered ta returns available review illustrate compensation ever paid maintained list outside salesmen fluctuated times paid also given credit cards use company epenses business account established card services credit limit  assisted staff setting account favor fact employer owned company charges incurred paid full monthly basis payments made company funds issued thru company checks payments made company checks company funds never made single payment account began eperiencing financial difficulties severe cash flow constraints stopped making payments cc business account eventually credit cut credit limit eceeded payments made bank forced company receivership ultimately bankruptcy us courts company assets liquidated available proceeds divided among secured creditors card services unsecured creditor owed total  final recording bankruptcy proceedings card services reported charge debt personal credit report error refused remove spite repeated requests never employee never paid never owned interest business credit card account listed multiple card holders debt discharged federal bankruptcy court matter receivership retained attorney help dispute information reported incorrectly major credit reporting bureaus demand made produce records support debt belonging failed reported debt discharged irs force pay income ta someone else debt would also mention card belonged business discharged debt bankruptcy made repeated attempts provide proof debts mine individually refused evidence mine individually belong company debt discharged formal bankruptcy proceedings filings,Credit reporting
contacting cfpb desperation dealing mortgage company recently denied loan modification due valid hardship realize review many months given details regarding hardship eplaining reasons due working health related proof well outcome decision could different fell behind mortgage payments  job company closed time happened different companies time became  months also stopped need able work since take medicine nt covered insurance since unable work increased medical epenses monthly able get increase pay show affordability resume making payments attached statements monthly prescription bills prove hardship disclose previously embarrassing personal situation realize stating working valid hardship applied modification current payments savings depleted pay bills  denied occasions since although hardship long term arrears owe could capitalized back loan brought current show affordability resume making payments income know us bank provided us copy bpo report showing value home  arrears owe close  makes loan value  asking lower interest rate payment chance keep home fighting long keep throughout difficult times please help us want lose home,Mortgage
us bank mishandled distributions disposition iras mother died  failed respond numerous requests resolution description problem attached letter constitutes formal request personal representative estate ira minimum distribution made us bank  deposited usb checking account reversed redeposited ira # irs guidelines common trust law distribution violated terms underlying ira agreement constituted unauthorized distribution ownership decedent iras transferred designated beneficiaries upon death neither beneficiary approved distribution addition  distribution also violates decedent ira beneficiary designation since pays account name designated beneficiaries instead paying equally designated beneficiaries background  died   date death iras us bank ira value ira account # value designated beneficiaries accounts children  reaching age set automatic withdrawal annual ira required minimum distribution   personally went us bank notified mother death   brother went us bank provided copy death certificate us bank branch  visit us bank also discussed mother iras personal banker called usb ira department notify mother death assist preparing documentation move mother iras brother beneficiaries   unauthorized rmd distribution referenced made mother ira  since repeatedly contact branch office us bank customer service regarding unauthorized transaction need correct  bank refused reverse distribution reason us bank provided refusal reverse distribution ira department knowledge death  find hard believe staff usb branch confirmed receipt mother death certificate  branch staff acknowledged contacting ira department death bank customer really required notify internal bank department mother death since us bank one corporation single notice death provided ought sufficient entire organization addition heard branch employee speaking ira department ecuse noting death records asked us bank social security number distribution would reported told would reported ssn acceptable final form would need filed behalf  response inaccurate encourages ta fraud since irs rules final return decedent includes income date death income distributed case three half months death three months us bank notified death,Bank account or service
bank america changed  maintenance fee savings account several times time called gotten different reason account charged time followed instructions avoid fee future time unable refund ,Bank account or service
daughters checking accounts bank opened accounts wife accounts back  daughter put account negative bank informed also liable negative balance thought daughter turned would taken account primaries considering circumstances paid negative balance removed wife account also case removed us daughter account go find went negative bank called inform apparently wife never removed either daugther accounts talked different people different departments say proof wanted remove us accounts liable pay negative balance,Bank account or service
wrong name wrong address,Credit reporting
number calls repeatedly every day leave messages received anything mail harrassing phone number tell call back apparently company sunrise services,Debt collection
things paid credit still showing open,Credit reporting
ditech charged account     time account current paid ahead part payment yet due theses charges inflated payments added payments without knowledge charged multiple inspection fees charges due ones dispute attorney fees  incurred current  via tracking number ditech received payment  paid part  dietch charged fraudulent fees,Mortgage
becoming could nt keep credit card account went collections account sold times collection agency name fredrick j hanna associates georgia tried sue money mediation made settlement agreement account paid settlement making last payment requested pay letter never received even contacting county court statement got court keep contacting fredrick j hanna office officer court could nt advise case contacted financial institution regarding payment records regarding matter able get forward necessary received notice credit monitoring service frederick j hanna filed civil case remaining balance old account paid settlement today first time became aware shady practices company lawsuit several consumers,Debt collection
 visiting store offered sign rewards account earn points purchases store clerk assured application credit card provided name address phone number provide social security number days later received letter stating credit card application received name incomplete could give credit card immediately called customer service number letter eplained situation apologized said resulting inquiry credit file would removed date  inquiry remains credit file transunion would like inquiry transunion credit file removed apply credit card employee submitted name address application credit,Credit reporting
trying sign community college around  cousin dropped cousin accidentally left bag car took us home realizing left weeks later needed birth certificate could nt find remembered took us sign school asked information tried make seem like nt know weeks called told social security card birth certificate would take mothers house went get papers aunt said daughter never came day cousin swearing stopped answering phone calls went filed police report figuring someone using information open bank accounts name filed police report  finding fraudulent behavior using information calling debit card check account balance got lazy nt feel like typing whole card number typed social birthday said multiple accounts using information account checking account saying multiple accounts instantly knew something wrong please help contact soon possible greatly appreciate thank,Bank account or service
th dispute company regarding inaccurate information credit report belong addresses belong removing must belong whoever obtaining accounts information mismatching file another consumer company failed produce information whatsoever proves accounts mot mine bankruptcy reporting file belong coming back verifying account yet contacted court state verify records cra therefore account unverified must removed major discrepancies report fcra demands accounts reported accurately negative accounts file different information reported three bureaus inconsistent grounds removal based upon fact alone absolutely certain account holder imperative issue gets resolved soon grave responsibility make certain accounts credit report accurate congress would agree organization also must go beyond original source notify inaccuracies must also prove method verification ruled absolutely necessary congress deriving lawsuit one credit reporting agencies able prove nothing use electronic response care money making accuracy accounts take court win violations said lawsuit notified accounts inaccurate credit must reinvestigate violation sections    fcra  usc i n o i places burden investigation squarely consumer reporting agency stating must handle original creditor violation said statute aware state reasonable reinvestigation taken place also separate claim pursuant  including lawsuit vs circuit court lawsuit company include violations statutes  usc t consumer reporting agency negligently fails comply fcra requirements liable actual damages costs reasonable attorney fees  usc o willful noncompliance renders consumer reporting agency additionally liable punitive damages  usc n shown negligence willful noncompliance failing delete promptly inaccurate unverifiable entries report also relying subscriber tell whether delete information report reinvestigation accuracy accounts credit bureau must bear responsibility evaluating accuracy information obtained subscribers see b credit bureau fl section e b requires consumer reporting agencies follow reasonable procedures assure maimum possible accuracy information contained credit report id quoting  usc e b fcra evinces congress intent consumer reporting agencies opportunity reap profits collection dissemination credit information bear grave responsibilities  us c   ensure accuracy information grave responsibility imposed i must consist something merely parroting information received sources,Credit reporting
fraud acct contacted bbva  times never get answer get transfer one answer money taken acct kicked bank weapon police report contacted never return calls since  days return calls perosn called said work bbca told issue put hold called someone else chatted hour told call back weeks ago called spoke people cold transfer phone  hr still nothing money stolen acct charges made also bbva compass bank visa debit card fraud dept stated theres really notes go get contact another dept tomorrow also takes hours get hold someone stated send stuff still nothing call time get transfer around call center called many people phone calls return call business hours state called left vociemail nothing phone calls recorded video inside bank also call logs posted social media etc taken care,Bank account or service
equifa reporting address never lived also saying unemployed employed full time,Credit reporting
electrical work done property man gave quote phone stated would  depending much permit gave go ahead work work completed  months later get call owing  tried calling owner man quoted answering service said state job would call back never heard back least calls office get letter collections company regards debt asked proof debt received invoice  company company make prices put someone credit report,Debt collection
equifa credit factors considered old collection accounts cancelled properly see attachment consider antiquity credit eight years old need reevaluate credit rating,Credit reporting
filing complaint think eperian wrong unethical may law letter mailed eperian around  clearly stated concerns regarding inaccurate questionable unverifiable information listed credit report also provided clear copy id proof social security number proof current mailing address  received notice eperian stating following received suspicious request mail regarding personal credit report determined sent suspicious requests reviewed eperian security personnel work regularly law enforcement officials regulatory agencies identify fraudulent deceptive correspondence purporting originate consumers effort safeguard personal credit information fraud initiating disputes based suspicious correspondence eperian apply policy future suspicious requests receive regarding personal credit information send additional notices suspicious correspondence believe information personal credit report inaccurate incomplete please visit website eperiancom validate dispute call us speak directly eperian consumer assistance representative however eperian confirmation number even provided notice imagine could possibly suspicious correspondence eperian spend endless hours phone calling credit bureau back forth attempting resolve issues credit report filing complaint eperian respond letters sending sure could violation rights eperian deliberately disregarding concerns,Credit reporting
automatic payment scheduled car insurance come  since direct deposit payroll normally would asked insurance company delay days ensure funds availability however occasion forgot realizing mistake checked account several times day evening see payment posted transaction listed website event payment posted plan borrow funds deposit account via atm previously bank representative advised atm deposit making account positive would help avoid fee following day direct deposit applied previous day balance showed negative fee applied,Bank account or service
car accident  bills paid insurance company attorney contacted companies least  times response bills never placed credit reports removed asap three credit bureaus bills company placed credit reports,Debt collection
copy letter sent green tree dear green tree servicing writing letter ask consideration loan modification work since injured job worker compensation denied case currently litigation suffered loss income produced severe financial hardship upcoming court date later year reference job injuries attorney unable work injuries care certain work restrictions limitations employer refused allow work light duty job restrictions retain attorney injured employer documented injury injury denied found employer insured different insurance carriers job injuries occurred doctor documented accident determined employer placed responsibility previous insurance employer document injury employers coverage epired result first insurance carrier claim number held financially responsible injury took place outside coverage dates second injury occurred took precedence different employer lied hid injury case litigation able work since unable earn income employer position work due injury reason able make monthly mortgage payments past savings help family church members attorney anticipated matter would cleared time however due multiple delays employer attorney ruling employer injuries another court hearing scheduled later year depleted savings position keep borrowing advised filed employable able work attorney case done keep mortgage payments current despite without income months even though arrears made good faith effort respectfully ask consider request modification allow keep home currently working representative sent paper work green tree several times green tree come back asked additional documents yet give rep answer sickening contacted months ahead time let know would unable keep making payments green tree still nothing stalling refuse work miss single payment year need shut worst mortgage company earth,Mortgage
story started  repayment program wells fargo home mortgage program suitable situation time since payments program time sensitive emergency household repair furnace contacted wells fargo could make payment three four days late talked two different members said bank said could gave confirmation number payment made cashed  days later received letter saying broke plan would start process since installed program called home preservation specialist handles case gave name contact made repeated calls wells fargo number months trying resolve issue received help bottom line wanted keep repayment plan make frustrating told one employees could make late payment cashed well also informed house sale wanted avoid issues came finally get contacted spending averaging least two three calls week four months later arrears increased send financial information requested get denied send appeal letters get denied start another request see approved documents go well appeals denied time goes arrears continue grow foreclosure sale date sold house closing date close sheriff sale date contacted asked request postponement foreclosure sale said sure send four specific documents us review fa info told called back even though documents system would fa different department tell nothing done even though four different people firm told four different stories bottom line one fault situation coming close guess complaint would due incompetence disregard outright inattention issue wells fargo employees led believe ok turned  month nightmare,Mortgage
victim identity theft fraud never establish credit lived outside ,Credit reporting
ca  wells fargo bank customer correspondence nc dear wells fargo bank bank associate given accounts details new atm card another customer account # today  around got wells fargo phone alert debit card ending # try atm cash withdrawn atm due incorrect pin transaction denied got many alert screenshot attached called call center stop atm card even nt order etra atm card past years mutinies later got four emails bank says changed mailing address phone number customize summery details cancelled wells fargo surepay mobile screenshot attached soon log online banking seen  atm cash withdrawn another  atm cash withdrawn shocked live possible atm withdrawn called call center informed account fraud activity agent says wells fargo branch issued new atm card today possible without verification banking associate issued atm card reason another person withdrawn money account banking associate update new mailing address personal contact information screenshot attached good thing called call center cancelled atm card last number ending # still disappointed serious issues ask legal help serious matter need new atm card soon possible delete profile mailing address bank looking complain serious issues take action soon possible wo nt happened future customers reverse amount   soon possible need details contact thanks,Bank account or service
wells fargo refuses refinance eisting home mortgage loan harp guidelines mortgagor called wells fargo home mortgage spoke representative named mortgagor permitted initiate refinance application harp guidelines wells fargo home mortgage yet ready implement new respa requirements according wfhm representative named mortgagor requested put verbal statement writing mortgagor mortgagor good faith attempted refinance eisting mortgage loan times since wells fargo home mortgage sabotages every application requiring unnecessary qualifying documentation low valuation property appraisals high conventional closing cost projections mortgagor paid  mortgaged property put  cash reduced outstanding mortgage loan balance   invested  property improvements wells fargo home mortgage stonewalled every complaint filed mortgagor wells fargo home mortgage made false statements mortgagor ecellent installment payment history wells fargo home mortgage produce required documentation signed uniform residential loan application wells fargo home mortgage manipulated mortgage loan nonconforming approved,Mortgage
fraud occurred account opened fradulantly house mortgage account years put clearing cleaning credit accounted seriously violated abused harassed scammed falsely reported us bank home mortgage several violation correct address stop running fdic bailouts fraud scams manipulate abuse families service united states military involved connected listed phone plus phone plus phone plus plus phone phone phone us bank home mortgage phone et relationship manager us bank home mortgage phone us bank home mortgage phone us bank national association phone agency bank nonbank connected fraud association accomplice illegal uses harrassment threat abuses illegal fee false representation false marketing bribery false reporting discriminating racial profiling false documentation false credit reporting false illegal work permit building scams false reporting courthouses holding shredding money order payment reporting year payment made called mortgage companies placing fake document courthouses false picture taken properties overly charging insurance companies saying mortgages va approved one time bearing false witness saying va approved later knowing va tolerate houses correctly inspected appraised approved sold properly yet repairs correct fies released approved house handled correctly fraud take name records everything want part lawless loveless eploitation fraud waste abuse scandal money laundering racketeering white blue collar crime house pass inspection appraisal real documentation many illegal violation false robo signing filing bribery went long moving many illegal things occurred housing industry brought light eposing fraud master bathroom heat air conditioning water room electric power electricity surges broken refrigerator freezer garage power electrical surges random places throughout house plumbing main hallway leaks winter flooring cold house crawl space house redo legal contractor master bathroom builder permit addition built onto house redo master bathroom illegally redone document house fraud many inconsistences inquired going closing ,Mortgage
dont credit card company harrasing last years asked tell bought said dont information,Debt collection
porfolio recovery associates repeatedly calling home past  months inquiring late sisterinlaw recently passed away estate eecutor asked agent nature call tell saying need speak confident outstanding debt kind repeatedly blocked phone number attempt stop harassment continually call new phone number,Debt collection
patient several years received care monthly basis disagreement medications wanted terminated patient years month would bill medical insurance receive payment services terminated somehow decided bill direct billed medical insurance would received payment sent letter informing bill medical insurance gave appropriate information see attached nt pay mistake made,Debt collection
law law statue limitations law laws violating peoples rights listed mgl chapter  section  mgl chapter  section  actions contract recover personal injuries founded upon contracts liabilities epress implied ecept actions limited section one actions upon judgments decrees courts record united states state united states shall ecept otherwise provided commenced within si years net cause action accrues,Mortgage
account #  payment never applied account due delinquent pay keep accrueing late fees reflects credit report eperience worst customer service ever recently tried get small loan credit union told could get loan behind mortgage know fact behind mortgage loan w chase called chase bank found payment money order showed returned allowed chase week research account see returned chase never followed back call back called back spoke representative gave tracking number rep told would follow back w one ever followed back called back spoke w another customer service rep told located copy confirmed payment money order per customer service rep told payment would applied account called payment still applied account customer service person assured situation would corrected day call back monday received collection call job almost three weeks since initial phone call issue still resolved monday told call back  days spoke escalation supervisor month account shows delinquent take hit credit report issue affects applying jobs recently applied job job applied required credit history check never called back likely show delinquency home wanted purchase new vehicle interest rates went back doubt possible show delinquent house payments due money order never process month credit rating goes due money order never process credit rating goes use money order money order cash money order posted account returned back representatives spoke found worst attitude sarcastic condescending everyone prior research notes account get general idea situation acted nt going issue weeks could answer questions give information process worked escalated issue like one dealing could tell done correct situation asked process posting money order know told sure even error eplained people spoke prior could see asked could nt see error coarse know asked could account delinquent shows payment receive ever month nt know end call asked could answer question frustrated even nt understand person supervisor little comprehension skills everyone supervisor able read notes identify going give type insight process going even incorrect could nt even acknowledge error assure account review made seem whole new process take place refinancing w credit union soon process corrected would never recommend service,Mortgage
front courthouse located california home sold insiderauction trustee sale auction illegal foreclosure involved substitution trustee hired wells fargo bank na america servicing company asc subsidiary wells fargo na servicer debtcollector noted witnessed substitution trustee recorded property ca monday stay filed federal bankruptcy chapter court approimately auction sale day unknown female auctioneer chose identify sold property auction coworker known male employee offduty employee auctioneer chose identify trusteeauction witnessed several legal observers live streamers private tvfilmer legal evidence multiple bidders known several legal observers bidding parties repeated insiderbidders multiple trustee auctions purportedly purchased foreclosed properties known legal observers visible evidence money ies purchased property auction sale offduty auctioneer money auction sale bid auctioned property known friday federal trade commission ftc filed lawsuit company permanent injunction equitable relief know united states district judge signed final judgment order stipulated parties hereby consent entry foregoing oder shall constitute final judgment order party bear costs attorneys fees incurred connection action signed chief eecutive officer acting defendant see attached known injunctive relief prohibited business practices involving defendants officers employees agents representatives persons entities active concert participation receive actual notice order personal service otherwise directly corporation subsidiary division device hereby permanently restrained enjoined connection servicing loan see attached details parties named complaint amongst others complicit illegal foreclosure auction took place home sold value amount whereas true value home lists appro today current listing brokers involved counterfeit loan docs parties profited unauthorized lienstripping equity private property victim identitytheft proven shown neus complaint identitytheft reference ftc parties complicit complaint failed respond complaints filed cfpb case numbers agency related ie creditbureau asc trustee debtcollector never answered complaints provided evidence prove authority sell property asc violated fdcpa  usc ,Mortgage
customer scottrade scottrade hacked two years ago done absolutely nothing help identity theft insurance provided scottrade nt work phone number sign page access information even work  year retroactive scottrade hacked two years ago scottrade thinks appropriate provide  year nonretroactive identity theft insurance leaves two year gap customer uninsured potentially dealt serious cases identity theft,Bank account or service
reporting agency reported owe  never enrolled college children enrolled,Credit reporting
collections agency offered resolution debt authorized client lump sum settlement paid protect credit time later another company franklin collections services wants remainder balance sent franklin copy settlement statement eos proof payment resolve,Debt collection
 ta billed bofa paid amount taes paid per month life  year loan  bofa billed additional amount learned error contacted ta refunded  billed paid bofa  notified bofa would receive refund paid back billing cashed refund check finally appeared mortgage statement week  bofa began moving portions monthly payments escrow account nt know began bofa online blocked access mortgage information  even though bofa recouped property ta payment even though never late making mortgage payments including current month bofa continues write billing letters generate automated billing phone calls call demanding payment  belatedly learned although done past nine years practice ta verify  reduction property taes every four years based current income asked notify rather bank america preclude similar event years hence enjoyed ecellent credit rating many years neither missed late making mortgage payment treated deadbeat something find incredible pleasing third party quickly see diabolical mess bofa made payment history without fail made payments fourth wednesday month received bank america following day via electronic transfer various contacts made bank america began latter part continued  relief sight note contacts bank america come form numerous sources geographical locations including ca ca etc,Mortgage
reached underwriting portion obtaining mortgage loan credit report pulled credit bureaus however discrepancy regarding legal name credit bureaus lists legal name correctly eperian made middle name last name last name middle name last name one letter unusual last name eperian refuses change name reflect legal name stating system accommodate one letter last names name discrepancy mortgage company disregard eperian score weigh heavily score currently eperian qualify loan program trying obtain quite unfair show legal name correctly ca nt eperian costing etra money,Credit reporting
facing medical problems made necessary relocate process trying sell home longer able remain difficulties making payments previously attempted eplain situation lender bank america ask forbearance attempt went poorly filed previous complaint cfpb complaint indicated wished response writing preferably mail hearing impaired requesting reasonable accommodation americans act bank america chose disregard request also send letter bank america requesting communications regarding issue writing via mail continuing receive calls bank america oddly receiving letters bank america demands call regarding issue ask bank america willing send letters telling call averse simply addressing issue writing would like work bank america avoid foreclosure methods addressing issue customer service leave much desired believe may violation federal law,Mortgage
tried get annual free credit report line year  transunion give ask questions apply apply topply another person whos information transunion keep wrongfully adding credit report happens every year spend many hours complaining filing law suits federal court get credit report information incorrect start every year getting information taken credit report law hold wrong information credit report due wrong information refuse give access credit report allow person access credit report please make idiot company give credit report affecting credit employment questions ask live known another name ever known name associated due giving correct answers questions transunion denied access credit report took entire year last year get information corrected added back credit report information please see many complaints make last year get report get corrected back square caused lose jobs negligence,Credit reporting
moved new neighborhood got letter citizens bank offering dollars direct deposit checking account bonus make another deposit within  days first opening deposition went local branch rep helped open account enrolled overdraft insurance bucks without even telling charged dollars maintanence fee month since deposit enough money timeane gave dollars opening account went days later deposit enough money could waived bucks maintanence rep promised credit back bucks bucks told nt want months checked account found total bucks never credited back called rep promised refund couple month contacted time promised today  months opened account never received dollar bonus promised credited within  months still never got back bucks leaving area soon finally went talk rep face face finally credited bucks never charged give bucks reason gave following talked someone phone dollars opening bonus gave cancelled bucks bonus said nt cancel bonus let bonus said done deal change clearly showed bonus certificate went open account guess citizens bank honor opening bonus disappointing eperience mei almost lost bucks instead getting joke,Bank account or service
applied line wells fargo bank account somewhere father wire money lives rural area nearest  hours away would easier wire money straight bank mine refused bank account resolved bank account issues understanding wells fargo understood previous issues due fraud account chose close accounts later date nt even reimburse fraudulently taken account refused account  years later want know,Bank account or service
got current escrow analysis noticed escrow payment going considerable amount knew mistake made etra payment escrow account cover increase insurance taes reviewing escrow analysis noticed error calculating actual dispersements numbers listed total current number numbers listed column totaled  yet escrow analysis showed total  difference  eact amount homeowner insurance evident someone added insurance twice attach statement see speaking tried clear nationstar  weeks made calls spoken escrow managers assured problem would corrected yet recent statement still shows incorrect total collected escrow fact already made payment much escrow nt want late payment credit report pay late fee collecting  correct amount   per month billing ecess sad part mortgage industry understanding escrow escrow analysis works happened average person would nt caught problem sent etra money nationstar frustrated want escrow corrected,Mortgage
pay pal created credit service without permission found year something purchased online using pay pal thinking bill later system get bill pay created new credit service never heard anything going debt collection owed fees paid amount fees time bought something online used credit card thought pay pal apparently could nt collect credit card charged pay pal credit nt hear anything  late fees attached doubling amount owed pay yesterday hear class action thing others talk,Bank account or service
  years ago received telephone bill  paid bill full years later received collection notice owed  wanting ruin credit rating paid bill received another collection notice different collection agency stating owe ,Debt collection
denied loan due erroneous collection credit report bank informed collections credit report focus management amount  never contacted phone mail email money owed tried call number listed credit report valid number decided search showed many claims fraud outstanding bills amount owe money causing negative marks credit would like completely removed credit bureaus promptly attorney ready represent law suit taken care negative marks caused denied home loan want taken care filed complaint company refused respond complaint disputed account never get validation proper documentation take credit,Debt collection
